ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Guayaquil,Río Grande,gquil - samborondón,VENTA,Casa,357.0,366.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Terrasol,gquil - samborondón,VENTA,Casa,400.0,560.0,335000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Sur Oeste De La Ciudad,gquil - sur,VENTA,Casa,125.0,150.0,40000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Río Grande,gquil - samborondón,VENTA,Casa,480.0,475.0,380000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Casa,200.0,211.0,130000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Villa Club. Boreal Manz E Villa 2,gquil - samborondón,VENTA,Casa,82.0,152.0,56000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Lomas 1era 6007 Y Calle 1era,gquil - norte,VENTA,Casa,550.0,400.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Conjunto Menorca,gquil - ceibos & vía a la costa,VENTA,Casa,120.0,189.0,92000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cerca Parque Historico,gquil - samborondón,VENTA,Villa,310.0,500.0,295000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,El Rio,gquil - samborondón,VENTA,Villa,450.0,900.0,650000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Santa Cecilia,gquil - ceibos & vía a la costa,VENTA,VILLA,302.0,650.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Quito,Capelo Jardines De Las Flores,quito - periférico,VENTA,Casa,940.0,1000.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cerca Riocentro,gquil - samborondón,VENTA,Villa,500.0,520.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Manta,Frente A Estadio La Pradera,otras zonas / costa & galap.,VENTA,Casa,270.0,183.0,55000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Laguna Club,gquil - ceibos & vía a la costa,ALQUILER,Villa,730.0,1000.0,5500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 5 Via Daule,gquil - norte,VENTA,Bodega,1078.0,1600.0,197000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Km. 22. Ciudad Los Angeles,gquil - ceibos & vía a la costa,VENTA,Casa,160.0,367.0,120000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Medardo Angel Silva 427 Y Chile - Recreo Viejo,gquil - norte,VENTA,Casa,240.0,312.0,19000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Las Cumbres,gquil - ceibos & vía a la costa,VENTA,Casa Duplex,166.0,171.0,115000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,CERCA PARQUE CEIBOS,gquil - ceibos & vía a la costa,VENTA,VILLA,550.0,956.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Casa,240.0,287.0,185000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Cañar,La Troncal-cochancay,otras zonas / sierra & oriente,VENTA,Complejo,20000.0,4.0,300000.0,Ha,0,0.0,0.0,1,0.0,0.0,0.0,0.0
Quito,Chillo Jijon A 5 Minutos De C.c. San Luis,quito - periférico,VENTA,Casa,180.0,110.0,115000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 1 Min Riocentro,gquil - samborondón,VENTA,Dpto.,480.0,1082.0,600000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Edificio Vizcaya,gquil - ceibos & vía a la costa,VENTA,DPTO,113.0,113.0,93000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Balsamos,gquil - norte,VENTA,Casa,400.0,800.0,280000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 5 Via Daule,gquil - norte,VENTA,Bodega,467.0,695.0,425000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Urdesa Central,gquil - norte,VENTA,Villa,540.0,740.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Av. Carlos Julio Arosemena,gquil - norte,VENTA,Casa,280.44,40070.0,95000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ruta del Sol,Ayampe,península & ruta del sol,VENTA,Casa,100.0,950.0,90000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ruta del Sol,Lomas Ballenita,península & ruta del sol,VENTA,Casa,200.0,2000.0,150000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,1.0
Naranjal,Av. Olmedo Y Guayaquil,otras zonas / costa & galap.,VENTA,Casa,230.0,111.0,83000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Cerca Clinica Kennedy,gquil - norte,VENTA,Edificio,988.0,648.0,490000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Villavicencio Y Cuenca. Esq.,gquil - centro,VENTA,Edificio,205.0,310.0,480000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Casa,171.0,191.0,118000.0,m2,1,0.0,0.0,0,1.0,0.0,0.0,0.0
GUAYAQUIL,Las Cumbres,gquil - ceibos & vía a la costa,VENTA,CASA DUPLEX,168.0,138.0,115000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Babahoyo Entre Ballen Y 10 De Agosto,gquil - centro,VENTA,Casa,190.0,332.0,70000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Barrio Las Peñas,gquil - centro,VENTA,Casa,460.0,190.0,360000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Av. Carlos Luis Plaza Dañín,gquil - norte,VENTA,Local,329.08,866.0,400000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Santa Cecilia Mz A-x Sl.12,gquil - ceibos & vía a la costa,VENTA,Dpto.,210.0,158.0,93000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Urb. Acosta Soberon,quito - periférico,VENTA,Casa,186.0,285.0,114990.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ambato,Av Rodrigo Pachano N12-156,otras zonas / sierra & oriente,VENTA,Casa,311.0,319.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 8,gquil - samborondón,VENTA,Villa,204.0,450.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 3,gquil - norte,VENTA,Bodega,1794.0,1812.0,580000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Via La Costa,gquil - ceibos & vía a la costa,VENTA,Casa,200.0,300.0,175000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Parroquia Colón,Calle Macias Y Portoviejo,otras zonas / costa & galap.,VENTA,Casa,12.0,1960.0,190000.0,Ha,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,El Tornero Km 2. Junto A La Uees,gquil - samborondón,VENTA,Casa,200.0,288.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Manta,Calle 105 Entre 108 Y 109,otras zonas / costa & galap.,VENTA,Hotel,200.0,240.0,200000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Manta,Hotel Cabañas Los Astilleros,otras zonas / costa & galap.,VENTA,Hotel,500.0,1500.0,400000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Circunvalación,gquil - norte,VENTA,Casa,500.0,2000.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Estancias Del Rio,gquil - samborondón,VENTA,Casa,194.0,390.0,169000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Tennis,gquil - samborondón,VENTA,Dpto.,635.0,635.0,743000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Lago De Capeira,gquil - norte,VENTA,Casa,1055.0,898.0,270000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Salinas,Junto Al Mar,península & ruta del sol,VENTA,Villa,328.0,512.0,350000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
SALINAS,Punta Blanca,península & ruta del sol,VENTA,VILLA,210.0,700.0,180000.0,m2.,0,0.0,1.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Cordon Comercial,gquil - norte,VENTA,VILLA,350.0,560.0,215000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Por River Park,gquil - samborondón,VENTA,Casa,371.0,401.0,268530.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Ruta del Sol,Punta Blanca,península & ruta del sol,VENTA,Villa,140.0,250.0,45000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Punta Blanca,Punta Blanca,península & ruta del sol,ALQUILER,Villa,250.0,750.0,4500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Diagonal Riocentro,gquil - samborondón,VENTA,Casa,450.0,1250.0,450000.0,m2,1,0.0,0.0,0,1.0,0.0,0.0,0.0
GUAYAQUIL,A 3 Min Del Riocentro,gquil - samborondón,VENTA,CASA,600.0,2332.0,1150000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 6,gquil - samborondón,VENTA,Villa,520.0,780.0,480000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Manta,Manta - Montecristi,otras zonas / costa & galap.,VENTA,Casa,250.0,2250.0,120000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 19,gquil - ceibos & vía a la costa,ALQUILER,Galpón,340.0,8190.0,2700.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,VILLA,596.0,1214.0,380000.0,m2.,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Sector San Marino,gquil - norte,VENTA,Villa,600.0,430.0,305000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 18,gquil - norte,VENTA,Fabrica,10000.0,32600.0,4200000.0,m2,0,0.0,0.0,2,0.0,0.0,0.0,0.0
Guayaquil,Urb. Terrasol. Via A Samborondon,gquil - samborondón,VENTA,Casa,322.0,482.0,295000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km3. Urbanización Exclusiva,gquil - samborondón,VENTA,Villa,600.0,450.0,550000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ruta del Sol,A 10 Minutos De Montañita,península & ruta del sol,VENTA,Casa,320.0,10000.0,150000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,600.0,820.0,315000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cdla. Santa Cecilia,gquil - ceibos & vía a la costa,VENTA,Casa,450.0,530.0,295000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Villanova,gquil - ceibos & vía a la costa,VENTA,Casa,145.0,225.0,110000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
